county,year,gasoline_million_gallons,gasoline_gallons
Alameda,2010,551,551000000.0
Alameda,2011,548,548000000.0
Alameda,2012,568,568000000.0
Alameda,2013,603,603000000.0
Alameda,2014,491,491000000.0
Alameda,2015,542,542000000.0
Alameda,2016,582,582000000.0
Alameda,2017,583,583000000.0
Alameda,2018,569,569000000.0
Alameda,2019,591,591000000.0
Alameda,2020,442,442000000.0
Alameda,2021,492,492000000.0
Alameda,2022,473,473000000.0
Alameda,2023,468,468000000.0
Alameda,2024,456,456000000.0
Amador,2010,15,15000000.0
Amador,2011,14,14000000.0
Amador,2012,14,14000000.0
Amador,2013,12,12000000.0
Amador,2014,15,15000000.0
Amador,2015,13,13000000.0
Amador,2016,14,14000000.0
Amador,2017,15,15000000.0
Amador,2018,17,17000000.0
Amador,2019,18,18000000.0
Amador,2020,13,13000000.0
Amador,2021,14,14000000.0
Amador,2022,13,13000000.0
Amador,2023,12,12000000.0
Amador,2024,12,12000000.0
Butte,2010,81,81000000.0
Butte,2011,81,81000000.0
Butte,2012,78,78000000.0
Butte,2013,81,81000000.0
Butte,2014,85,85000000.0
Butte,2015,78,78000000.0
Butte,2016,83,83000000.0
Butte,2017,87,87000000.0
Butte,2018,86,86000000.0
Butte,2019,78,78000000.0
Butte,2020,68,68000000.0
Butte,2021,74,74000000.0
Butte,2022,63,63000000.0
Butte,2023,71,71000000.0
Butte,2024,64,64000000.0
Calaveras,2010,14,14000000.0
Calaveras,2011,14,14000000.0
Calaveras,2012,12,12000000.0
Calaveras,2013,13,13000000.0
Calaveras,2014,14,14000000.0
Calaveras,2015,14,14000000.0
Calaveras,2016,15,15000000.0
Calaveras,2017,15,15000000.0
Calaveras,2018,15,15000000.0
Calaveras,2019,15,15000000.0
Calaveras,2020,15,15000000.0
Calaveras,2021,13,13000000.0
Calaveras,2022,15,15000000.0
Calaveras,2023,14,14000000.0
Calaveras,2024,16,16000000.0
Colusa,2010,17,17000000.0
Colusa,2011,11,11000000.0
Colusa,2012,10,10000000.0
Colusa,2013,13,13000000.0
Colusa,2014,10,10000000.0
Colusa,2015,9,9000000.0
Colusa,2016,11,11000000.0
Colusa,2017,12,12000000.0
Colusa,2018,13,13000000.0
Colusa,2019,13,13000000.0
Colusa,2020,15,15000000.0
Colusa,2021,16,16000000.0
Colusa,2022,13,13000000.0
Colusa,2023,11,11000000.0
Colusa,2024,12,12000000.0
Contra Costa,2010,403,403000000.0
Contra Costa,2011,395,395000000.0
Contra Costa,2012,419,419000000.0
Contra Costa,2013,422,422000000.0
Contra Costa,2014,392,392000000.0
Contra Costa,2015,380,380000000.0
Contra Costa,2016,431,431000000.0
Contra Costa,2017,430,430000000.0
Contra Costa,2018,397,397000000.0
Contra Costa,2019,427,427000000.0
Contra Costa,2020,336,336000000.0
Contra Costa,2021,374,374000000.0
Contra Costa,2022,396,396000000.0
Contra Costa,2023,390,390000000.0
Contra Costa,2024,382,382000000.0
Del Norte,2010,8,8000000.0
Del Norte,2011,7,7000000.0
Del Norte,2012,7,7000000.0
Del Norte,2013,5,5000000.0
Del Norte,2014,7,7000000.0
Del Norte,2015,6,6000000.0
Del Norte,2016,7,7000000.0
Del Norte,2017,7,7000000.0
Del Norte,2018,7,7000000.0
Del Norte,2019,6,6000000.0
Del Norte,2020,5,5000000.0
Del Norte,2021,5,5000000.0
Del Norte,2022,4,4000000.0
Del Norte,2023,4,4000000.0
Del Norte,2024,3,3000000.0
El Dorado,2010,68,68000000.0
El Dorado,2011,67,67000000.0
El Dorado,2012,75,75000000.0
El Dorado,2013,72,72000000.0
El Dorado,2014,52,52000000.0
El Dorado,2015,81,81000000.0
El Dorado,2016,81,81000000.0
El Dorado,2017,82,82000000.0
El Dorado,2018,76,76000000.0
El Dorado,2019,74,74000000.0
El Dorado,2020,62,62000000.0
El Dorado,2021,65,65000000.0
El Dorado,2022,66,66000000.0
El Dorado,2023,67,67000000.0
El Dorado,2024,65,65000000.0
Fresno,2010,342,342000000.0
Fresno,2011,335,335000000.0
Fresno,2012,341,341000000.0
Fresno,2013,344,344000000.0
Fresno,2014,300,300000000.0
Fresno,2015,331,331000000.0
Fresno,2016,358,358000000.0
Fresno,2017,367,367000000.0
Fresno,2018,368,368000000.0
Fresno,2019,376,376000000.0
Fresno,2020,347,347000000.0
Fresno,2021,387,387000000.0
Fresno,2022,371,371000000.0
Fresno,2023,372,372000000.0
Fresno,2024,378,378000000.0
Glenn,2010,14,14000000.0
Glenn,2011,14,14000000.0
Glenn,2012,12,12000000.0
Glenn,2013,14,14000000.0
Glenn,2014,16,16000000.0
Glenn,2015,16,16000000.0
Glenn,2016,17,17000000.0
Glenn,2017,18,18000000.0
Glenn,2018,17,17000000.0
Glenn,2019,18,18000000.0
Glenn,2020,15,15000000.0
Glenn,2021,17,17000000.0
Glenn,2022,14,14000000.0
Glenn,2023,15,15000000.0
Glenn,2024,15,15000000.0
Humboldt,2010,54,54000000.0
Humboldt,2011,54,54000000.0
Humboldt,2012,53,53000000.0
Humboldt,2013,64,64000000.0
Humboldt,2014,44,44000000.0
Humboldt,2015,59,59000000.0
Humboldt,2016,61,61000000.0
Humboldt,2017,55,55000000.0
Humboldt,2018,58,58000000.0
Humboldt,2019,53,53000000.0
Humboldt,2020,56,56000000.0
Humboldt,2021,52,52000000.0
Humboldt,2022,45,45000000.0
Humboldt,2023,42,42000000.0
Humboldt,2024,30,30000000.0
Imperial,2010,69,69000000.0
Imperial,2011,60,60000000.0
Imperial,2012,54,54000000.0
Imperial,2013,58,58000000.0
Imperial,2014,83,83000000.0
Imperial,2015,79,79000000.0
Imperial,2016,86,86000000.0
Imperial,2017,83,83000000.0
Imperial,2018,89,89000000.0
Imperial,2019,86,86000000.0
Imperial,2020,64,64000000.0
Imperial,2021,74,74000000.0
Imperial,2022,66,66000000.0
Imperial,2023,74,74000000.0
Imperial,2024,75,75000000.0
Inyo,2010,19,19000000.0
Inyo,2011,18,18000000.0
Inyo,2012,16,16000000.0
Inyo,2013,16,16000000.0
Inyo,2014,17,17000000.0
Inyo,2015,18,18000000.0
Inyo,2016,18,18000000.0
Inyo,2017,18,18000000.0
Inyo,2018,18,18000000.0
Inyo,2019,17,17000000.0
Inyo,2020,16,16000000.0
Inyo,2021,15,15000000.0
Inyo,2022,15,15000000.0
Inyo,2023,15,15000000.0
Inyo,2024,15,15000000.0
Kern,2010,362,362000000.0
Kern,2011,359,359000000.0
Kern,2012,356,356000000.0
Kern,2013,367,367000000.0
Kern,2014,384,384000000.0
Kern,2015,375,375000000.0
Kern,2016,407,407000000.0
Kern,2017,390,390000000.0
Kern,2018,396,396000000.0
Kern,2019,392,392000000.0
Kern,2020,364,364000000.0
Kern,2021,406,406000000.0
Kern,2022,395,395000000.0
Kern,2023,401,401000000.0
Kern,2024,406,406000000.0
Kings,2010,51,51000000.0
Kings,2011,48,48000000.0
Kings,2012,47,47000000.0
Kings,2013,49,49000000.0
Kings,2014,45,45000000.0
Kings,2015,51,51000000.0
Kings,2016,57,57000000.0
Kings,2017,60,60000000.0
Kings,2018,60,60000000.0
Kings,2019,76,76000000.0
Kings,2020,52,52000000.0
Kings,2021,58,58000000.0
Kings,2022,58,58000000.0
Kings,2023,55,55000000.0
Kings,2024,55,55000000.0
Lake,2010,25,25000000.0
Lake,2011,22,22000000.0
Lake,2012,20,20000000.0
Lake,2013,24,24000000.0
Lake,2014,25,25000000.0
Lake,2015,23,23000000.0
Lake,2016,21,21000000.0
Lake,2017,21,21000000.0
Lake,2018,23,23000000.0
Lake,2019,24,24000000.0
Lake,2020,20,20000000.0
Lake,2021,20,20000000.0
Lake,2022,18,18000000.0
Lake,2023,19,19000000.0
Lake,2024,18,18000000.0
Lassen,2010,7,7000000.0
Lassen,2011,7,7000000.0
Lassen,2012,6,6000000.0
Lassen,2013,6,6000000.0
Lassen,2014,8,8000000.0
Lassen,2015,9,9000000.0
Lassen,2016,8,8000000.0
Lassen,2017,6,6000000.0
Lassen,2018,5,5000000.0
Lassen,2019,7,7000000.0
Lassen,2020,6,6000000.0
Lassen,2021,7,7000000.0
Lassen,2022,6,6000000.0
Lassen,2023,6,6000000.0
Lassen,2024,6,6000000.0
Los Angeles,2010,3658,3658000000.0
Los Angeles,2011,3554,3554000000.0
Los Angeles,2012,3451,3451000000.0
Los Angeles,2013,3445,3445000000.0
Los Angeles,2014,3749,3749000000.0
Los Angeles,2015,3465,3465000000.0
Los Angeles,2016,3577,3577000000.0
Los Angeles,2017,3659,3659000000.0
Los Angeles,2018,3638,3638000000.0
Los Angeles,2019,3559,3559000000.0
Los Angeles,2020,2770,2770000000.0
Los Angeles,2021,3061,3061000000.0
Los Angeles,2022,3070,3070000000.0
Los Angeles,2023,3039,3039000000.0
Los Angeles,2024,2987,2987000000.0
Madera,2010,57,57000000.0
Madera,2011,61,61000000.0
Madera,2012,53,53000000.0
Madera,2013,54,54000000.0
Madera,2014,45,45000000.0
Madera,2015,44,44000000.0
Madera,2016,59,59000000.0
Madera,2017,62,62000000.0
Madera,2018,57,57000000.0
Madera,2019,62,62000000.0
Madera,2020,63,63000000.0
Madera,2021,71,71000000.0
Madera,2022,67,67000000.0
Madera,2023,69,69000000.0
Madera,2024,63,63000000.0
Marin,2010,94,94000000.0
Marin,2011,103,103000000.0
Marin,2012,107,107000000.0
Marin,2013,106,106000000.0
Marin,2014,75,75000000.0
Marin,2015,105,105000000.0
Marin,2016,102,102000000.0
Marin,2017,101,101000000.0
Marin,2018,82,82000000.0
Marin,2019,96,96000000.0
Marin,2020,77,77000000.0
Marin,2021,88,88000000.0
Marin,2022,86,86000000.0
Marin,2023,91,91000000.0
Marin,2024,86,86000000.0
Mariposa,2010,7,7000000.0
Mariposa,2011,7,7000000.0
Mariposa,2012,6,6000000.0
Mariposa,2013,5,5000000.0
Mariposa,2014,9,9000000.0
Mariposa,2015,6,6000000.0
Mariposa,2016,8,8000000.0
Mariposa,2017,6,6000000.0
Mariposa,2018,7,7000000.0
Mariposa,2019,8,8000000.0
Mariposa,2020,5,5000000.0
Mariposa,2021,7,7000000.0
Mariposa,2022,6,6000000.0
Mariposa,2023,7,7000000.0
Mariposa,2024,6,6000000.0
Mendocino,2010,41,41000000.0
Mendocino,2011,40,40000000.0
Mendocino,2012,43,43000000.0
Mendocino,2013,42,42000000.0
Mendocino,2014,40,40000000.0
Mendocino,2015,40,40000000.0
Mendocino,2016,42,42000000.0
Mendocino,2017,38,38000000.0
Mendocino,2018,40,40000000.0
Mendocino,2019,44,44000000.0
Mendocino,2020,37,37000000.0
Mendocino,2021,39,39000000.0
Mendocino,2022,36,36000000.0
Mendocino,2023,37,37000000.0
Mendocino,2024,35,35000000.0
Merced,2010,106,106000000.0
Merced,2011,95,95000000.0
Merced,2012,92,92000000.0
Merced,2013,94,94000000.0
Merced,2014,83,83000000.0
Merced,2015,105,105000000.0
Merced,2016,114,114000000.0
Merced,2017,117,117000000.0
Merced,2018,132,132000000.0
Merced,2019,119,119000000.0
Merced,2020,106,106000000.0
Merced,2021,122,122000000.0
Merced,2022,120,120000000.0
Merced,2023,120,120000000.0
Merced,2024,120,120000000.0
Mono,2010,7,7000000.0
Mono,2011,6,6000000.0
Mono,2012,2,2000000.0
Mono,2013,8,8000000.0
Mono,2014,8,8000000.0
Mono,2015,7,7000000.0
Mono,2016,8,8000000.0
Mono,2017,5,5000000.0
Mono,2018,7,7000000.0
Mono,2019,8,8000000.0
Mono,2020,7,7000000.0
Mono,2021,6,6000000.0
Mono,2022,6,6000000.0
Mono,2023,6,6000000.0
Mono,2024,6,6000000.0
Monterey,2010,152,152000000.0
Monterey,2011,155,155000000.0
Monterey,2012,147,147000000.0
Monterey,2013,177,177000000.0
Monterey,2014,126,126000000.0
Monterey,2015,184,184000000.0
Monterey,2016,177,177000000.0
Monterey,2017,174,174000000.0
Monterey,2018,181,181000000.0
Monterey,2019,174,174000000.0
Monterey,2020,141,141000000.0
Monterey,2021,162,162000000.0
Monterey,2022,174,174000000.0
Monterey,2023,157,157000000.0
Monterey,2024,162,162000000.0
Napa,2010,52,52000000.0
Napa,2011,47,47000000.0
Napa,2012,58,58000000.0
Napa,2013,52,52000000.0
Napa,2014,39,39000000.0
Napa,2015,63,63000000.0
Napa,2016,57,57000000.0
Napa,2017,53,53000000.0
Napa,2018,61,61000000.0
Napa,2019,57,57000000.0
Napa,2020,44,44000000.0
Napa,2021,47,47000000.0
Napa,2022,49,49000000.0
Napa,2023,47,47000000.0
Napa,2024,56,56000000.0
Nevada,2010,42,42000000.0
Nevada,2011,35,35000000.0
Nevada,2012,34,34000000.0
Nevada,2013,25,25000000.0
Nevada,2014,27,27000000.0
Nevada,2015,40,40000000.0
Nevada,2016,40,40000000.0
Nevada,2017,39,39000000.0
Nevada,2018,38,38000000.0
Nevada,2019,39,39000000.0
Nevada,2020,36,36000000.0
Nevada,2021,35,35000000.0
Nevada,2022,32,32000000.0
Nevada,2023,34,34000000.0
Nevada,2024,32,32000000.0
Orange,2010,1406,1406000000.0
Orange,2011,1338,1338000000.0
Orange,2012,1355,1355000000.0
Orange,2013,1332,1332000000.0
Orange,2014,1465,1465000000.0
Orange,2015,1370,1370000000.0
Orange,2016,1375,1375000000.0
Orange,2017,1382,1382000000.0
Orange,2018,1402,1402000000.0
Orange,2019,1325,1325000000.0
Orange,2020,1029,1029000000.0
Orange,2021,1159,1159000000.0
Orange,2022,1176,1176000000.0
Orange,2023,1150,1150000000.0
Orange,2024,1155,1155000000.0
Placer,2010,190,190000000.0
Placer,2011,189,189000000.0
Placer,2012,192,192000000.0
Placer,2013,167,167000000.0
Placer,2014,170,170000000.0
Placer,2015,209,209000000.0
Placer,2016,204,204000000.0
Placer,2017,203,203000000.0
Placer,2018,206,206000000.0
Placer,2019,198,198000000.0
Placer,2020,163,163000000.0
Placer,2021,178,178000000.0
Placer,2022,169,169000000.0
Placer,2023,184,184000000.0
Placer,2024,178,178000000.0
Plumas,2010,7,7000000.0
Plumas,2011,8,8000000.0
Plumas,2012,7,7000000.0
Plumas,2013,4,4000000.0
Plumas,2014,8,8000000.0
Plumas,2015,7,7000000.0
Plumas,2016,5,5000000.0
Plumas,2017,6,6000000.0
Plumas,2018,6,6000000.0
Plumas,2019,6,6000000.0
Plumas,2020,6,6000000.0
Plumas,2021,7,7000000.0
Plumas,2022,8,8000000.0
Plumas,2023,7,7000000.0
Plumas,2024,8,8000000.0
Riverside,2010,952,952000000.0
Riverside,2011,916,916000000.0
Riverside,2012,895,895000000.0
Riverside,2013,925,925000000.0
Riverside,2014,1010,1010000000.0
Riverside,2015,1039,1039000000.0
Riverside,2016,1035,1035000000.0
Riverside,2017,1052,1052000000.0
Riverside,2018,1052,1052000000.0
Riverside,2019,1046,1046000000.0
Riverside,2020,876,876000000.0
Riverside,2021,981,981000000.0
Riverside,2022,981,981000000.0
Riverside,2023,980,980000000.0
Riverside,2024,966,966000000.0
Sacramento,2010,566,566000000.0
Sacramento,2011,553,553000000.0
Sacramento,2012,560,560000000.0
Sacramento,2013,568,568000000.0
Sacramento,2014,442,442000000.0
Sacramento,2015,584,584000000.0
Sacramento,2016,600,600000000.0
Sacramento,2017,599,599000000.0
Sacramento,2018,586,586000000.0
Sacramento,2019,600,600000000.0
Sacramento,2020,689,689000000.0
Sacramento,2021,557,557000000.0
Sacramento,2022,535,535000000.0
Sacramento,2023,544,544000000.0
Sacramento,2024,540,540000000.0
San Benito,2010,18,18000000.0
San Benito,2011,16,16000000.0
San Benito,2012,20,20000000.0
San Benito,2013,7,7000000.0
San Benito,2014,14,14000000.0
San Benito,2015,15,15000000.0
San Benito,2016,17,17000000.0
San Benito,2017,20,20000000.0
San Benito,2018,17,17000000.0
San Benito,2019,21,21000000.0
San Benito,2020,18,18000000.0
San Benito,2021,17,17000000.0
San Benito,2022,14,14000000.0
San Benito,2023,15,15000000.0
San Benito,2024,14,14000000.0
San Bernardino,2010,902,902000000.0
San Bernardino,2011,871,871000000.0
San Bernardino,2012,878,878000000.0
San Bernardino,2013,889,889000000.0
San Bernardino,2014,948,948000000.0
San Bernardino,2015,909,909000000.0
San Bernardino,2016,1010,1010000000.0
San Bernardino,2017,993,993000000.0
San Bernardino,2018,990,990000000.0
San Bernardino,2019,977,977000000.0
