county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k
"Alameda County, California",129367,1649473,452099,386114,154136,598246,325509,837261,509744,598246.0,24647.0,16304.0,11029.0,13365.0,10766.0,11399.0,12100.0,12825.0,11843.0,23478.0,35075.0,56169.0,51989.0,44182.0,70712.0,192363.0,06,001,0.5602561488083497
"Alpine County, California",105521,1616,923,216,0,435,340,800,609,435.0,15.0,14.0,12.0,11.0,18.0,31.0,2.0,2.0,13.0,6.0,50.0,20.0,60.0,26.0,79.0,76.0,06,003,0.6436781609195402
"Amador County, California",88044,41428,30083,6634,790,16091,12941,15901,13086,16091.0,1010.0,519.0,196.0,455.0,471.0,297.0,281.0,556.0,543.0,1228.0,1293.0,2508.0,1639.0,1441.0,1962.0,1692.0,06,005,0.7729165371947051
"Butte County, California",67928,207929,135400,41660,3628,83312,47717,90412,73514,83312.0,4994.0,3159.0,3923.0,3954.0,3448.0,3666.0,2928.0,3409.0,2736.0,5463.0,7183.0,10137.0,7915.0,4973.0,6743.0,8681.0,06,007,0.8148646053389668
"Calaveras County, California",78647,46248,35337,6702,457,18437,15480,18264,14474,18437.0,896.0,438.0,815.0,505.0,545.0,895.0,549.0,613.0,468.0,1335.0,1922.0,2178.0,1409.0,1783.0,1570.0,2516.0,06,009,0.7783804306557466
"Colusa County, California",75672,21984,6550,13832,335,7512,4674,9163,8451,7512.0,588.0,251.0,272.0,393.0,182.0,301.0,159.0,332.0,192.0,347.0,707.0,1313.0,571.0,509.0,612.0,783.0,06,011,0.814297124600639
"Contra Costa County, California",127229,1165012,443990,321749,92564,414417,281819,551854,384707,414417.0,14089.0,7888.0,7065.0,7152.0,7934.0,8307.0,8635.0,8695.0,7558.0,17740.0,27138.0,42542.0,39249.0,33049.0,55549.0,121827.0,06,013,0.571986670430991
"Del Norte County, California",67058,27107,16229,5396,682,9522,6673,9743,8489,9522.0,339.0,528.0,605.0,340.0,360.0,447.0,336.0,288.0,321.0,792.0,780.0,1146.0,1100.0,591.0,1022.0,527.0,06,015,0.8373240915773997
"El Dorado County, California",108845,192662,140820,27892,1481,76185,58844,86589,63191,76185.0,2484.0,1241.0,2024.0,2104.0,1329.0,2276.0,1756.0,1810.0,2105.0,3399.0,5883.0,8810.0,7710.0,6923.0,8522.0,17809.0,06,017,0.6543807836188226
"Fresno County, California",74201,1016725,266873,554390,42390,324702,180371,419664,357420,324702.0,19844.0,13403.0,10658.0,11733.0,11589.0,11555.0,12008.0,10880.0,10881.0,21608.0,29887.0,41962.0,31448.0,24135.0,28292.0,34819.0,06,019,0.8056340891032393
"Glenn County, California",67139,28494,13525,12820,62,9810,6002,11965,10600,9810.0,481.0,333.0,546.0,362.0,367.0,539.0,312.0,324.0,546.0,604.0,1066.0,1209.0,1081.0,678.0,839.0,523.0,06,021,0.8611620795107033
